# header: effective temperature (Teff [K]), surface gravity (logg [cm s^-2]), metallicity ([M/H]), microturbulence velocity (xi_mtb [km s^-1]), whether g_rad is on or off (grad), photospheric density (rho_ph), and magnitudes in various photometric bands (mag_B, mag_R1, mag_R2, mag_Z, mag_J, mag_H, mag_K).
Teff,logg,M/H,xi_mtb,grad,rho_ph,mag_B,mag_R1,mag_R2,mag_Z,mag_J,mag_H,mag_K
4000,-3.0,-2.0,2,True,5.0495187981424316e-11,-31.00048871695671,-33.19104748202691,-33.829172531798896,-34.659217356246316,-35.05620994369609,-35.07226666550392,-34.7785202886301
4000,-2.5,-2.0,2,True,1.5930129619908622e-10,-30.869867633665823,-33.103109100609565,-33.75349657956567,-34.595233591885446,-35.02994106954559,-35.197169023552945,-34.87929310124213
4000,-2.0,-2.0,2,True,4.2948547408577805e-10,-30.92677220217309,-33.13613522531324,-33.76640332890708,-34.57037471121882,-34.99828206996344,-35.25003518763037,-34.91515574363062
4000,-1.5,-2.0,2,True,1.0641463379296562e-09,-31.082543030294406,-33.222043625382575,-33.81418334906965,-34.557959491954556,-34.964908078752266,-35.26771180933294,-34.9233116787758
4000,-1.0,-2.0,2,True,2.457591363804361e-09,-31.3132328890676,-33.33363371535475,-33.87433867085886,-34.547149636030724,-34.93112016903361,-35.27336950084009,-34.92218196011029
4000,-0.5,-2.0,2,True,5.385438098738209e-09,-31.571748675064896,-33.43460856293001,-33.92005276581857,-34.526641147437104,-34.893756523706074,-35.26555878889627,-34.911284105481215
4000,0.0,-2.0,2,True,1.1273045602605865e-08,-31.84326544039009,-33.52297379301368,-33.955623570605454,-34.506666961812826,-34.86224884984436,-35.25641251987129,-34.901638741221255
4000,0.5,-2.0,2,True,2.296464821375849e-08,-32.085727377661506,-33.58638376793194,-33.97599622783665,-34.48680861024526,-34.83583727013976,-35.24334252025904,-34.8907533561316
4000,1.0,-2.0,2,True,4.6102898389095424e-08,-32.280752029302,-33.628077427892606,-33.98609711525875,-34.47004902760138,-34.81526635685829,-35.228462558424496,-34.87926404763893
4000,1.5,-2.0,2,True,9.185043407832685e-08,-32.42553447478754,-33.65307460481063,-33.9895548934283,-34.456723634119726,-34.79948848426131,-35.2120398075536,-34.866244650057105
4500,-3.0,-2.0,2,True,7.489026799849227e-12,-33.533517942065814,-34.66906689950675,-34.94324532844307,-35.25531704267951,-35.24284505154938,-34.94408688149592,-34.63866433231566
4500,-2.75,-2.0,2,True,2.1141266584260403e-11,-33.15690375919267,-34.52568699008597,-34.86505418412544,-35.268901515030755,-35.340318600878334,-35.12783055752463,-34.802680422073266
4500,-2.5,-2.0,2,True,4.3299155545703094e-11,-32.98596556625063,-34.445158217580854,-34.81148169020644,-35.250330901406464,-35.37204505861266,-35.240909178227604,-34.898530645739456
4500,-2.0,-2.0,2,True,1.3764120791123975e-10,-32.88360446434717,-34.377659423103374,-34.7547147970338,-35.205013191639,-35.37702551836827,-35.37213679118379,-35.00291995102728
4500,-1.5,-2.0,2,True,3.7316593633866537e-10,-32.92983041072685,-34.37386485085097,-34.73679741827165,-35.1690879590351,-35.35764858229917,-35.43273705940622,-35.046018756031195
4500,-1.0,-2.0,2,True,9.37438551034975e-10,-33.035594866458894,-34.39348353109436,-34.73357796708547,-35.14020139908081,-35.332420917256705,-35.45642598203118,-35.0592018134474
4500,-0.5,-2.0,2,True,2.2434001675041873e-09,-33.162175266654124,-34.42030149013572,-34.73552568247517,-35.11611654374918,-35.30765406889766,-35.463941919193275,-35.06138296234488
4500,0.0,-2.0,2,True,5.179531681406085e-09,-33.28814611500943,-34.445015666351885,-34.736706282790905,-35.09424155471911,-35.284399782802154,-35.4624999230612,-35.0569385557816
4500,0.5,-2.0,2,True,1.1422708979559373e-08,-33.41015900033064,-34.46540726585821,-34.735512502333314,-35.073593204941965,-35.26262143265395,-35.451745913250804,-35.04839260211736
4500,1.0,-2.0,2,True,2.4420117542334286e-08,-33.51111378671528,-34.481228214911646,-34.73420773608173,-35.05726485139522,-35.245575008786105,-35.44282292309798,-35.044976968586404
4500,1.5,-2.0,2,True,5.1058852394128043e-08,-33.587559709500894,-34.489356665015535,-34.72980663610953,-35.04275994570094,-35.23065682467766,-35.42817857697483,-35.036527037631664
5000,-2.47,-2.0,2,True,3.239529518492673e-12,-34.77926925829938,-35.291510437960866,-35.400883109719366,-35.50062531403051,-35.36124787305978,-35.042756484094234,-34.71389426311195
5000,-2.45,-2.0,2,True,4.7078819400070995e-12,-34.726920923828835,-35.28825269083522,-35.40905776454459,-35.53373352089889,-35.403042784925105,-35.08890725706724,-34.752903620702625
5000,-2.4,-2.0,2,True,7.422384495141529e-12,-34.65528528834267,-35.27936528930369,-35.41453358274197,-35.57020797798481,-35.452475223756174,-35.14707457136591,-34.8060206673927
5000,-2.25,-2.0,2,True,1.584231765507839e-11,-34.52821855030748,-35.25137190685001,-35.41152755861994,-35.61176070322376,-35.52674742493253,-35.253217394828134,-34.90032492599256
5000,-2.0,-2.0,2,True,3.5618247619047616e-11,-34.40597145994414,-35.2166283166836,-35.39811977285942,-35.62743566217414,-35.58603178070162,-35.36758116086812,-34.99581807177334
5000,-1.5,-2.0,2,True,1.190144578313253e-10,-34.31576163384515,-35.17079879665032,-35.366757438397784,-35.60632023473471,-35.621242667477475,-35.50127758008411,-35.10280285939988
5000,-1.0,-2.0,2,True,3.2202224910060785e-10,-34.31969492956535,-35.147952531842165,-35.34214846398634,-35.5733045747644,-35.61771524994013,-35.560424607847835,-35.14840420508156
5000,-0.5,-2.0,2,True,7.959438215428367e-10,-34.355856060254354,-35.13739134174722,-35.324460873888015,-35.54447507343922,-35.604179843784294,-35.59446890182837,-35.17227357364834
5000,0.0,-2.0,2,True,1.890585179890398e-09,-34.39339650942146,-35.127500991074,-35.30749098111683,-35.51838986609778,-35.58730346314351,-35.60804550881383,-35.180825740552805
5000,0.5,-2.0,2,True,4.371438119599818e-09,-34.42598021422548,-35.117768268805335,-35.29158160476968,-35.49604084921582,-35.570833681148876,-35.61204556701933,-35.18300357105516
5000,1.0,-2.0,2,True,9.912566493955096e-09,-34.45006499731511,-35.10690634895325,-35.27604154290286,-35.47662440877156,-35.555464825278385,-35.61086270673657,-35.181601727320654
5000,1.5,-2.0,2,True,2.208850354609929e-08,-34.46646621829324,-35.09585817959295,-35.26164682151751,-35.46020477307656,-35.54184391648703,-35.60593380702253,-35.17806452047135
6000,-1.0,-2.0,2,True,3.2105246888664645e-11,-35.876256321882714,-36.05251856658456,-36.06799020288138,-36.15735765555248,-35.93359761426984,-35.631971667542764,-35.21196069414857
6000,-0.5,-2.0,2,True,1.1325428373783564e-10,-35.851607972235236,-36.04559306327161,-36.07154690282476,-36.16454623260586,-35.98285787664719,-35.72203792560719,-35.28559712535454
6000,0.0,-2.0,2,True,3.1068442468037795e-10,-35.825174019924965,-36.04060376126597,-36.07364585313095,-36.15273529944509,-36.00646330626259,-35.77981708565226,-35.33236200429944
6000,0.5,-2.0,2,True,7.641017161016948e-10,-35.796858685605905,-36.02495920769211,-36.06495783144195,-36.130141492744926,-36.011501005821266,-35.81196202124748,-35.35913190752448
6000,1.0,-2.0,2,True,1.7885387624865055e-09,-35.7663309452666,-36.00603860864219,-36.05213377316418,-36.10702436797404,-36.00862978080259,-35.82928630002188,-35.3737678682902
6000,1.5,-2.0,2,True,1.785164674827953e-09,-35.76598638201182,-36.00637905389496,-36.052681835610365,-36.10751712516147,-36.009031389395055,-35.829267836379785,-35.37397586147576
2000,-4.0,-1.0,2,True,7.367659595959597e-12,-19.24518753659999,-21.900678809655687,-24.498781869076165,-29.261044724612127,-32.21613888578405,-32.93727566521936,-33.084584695751516
2000,-3.5,-1.0,2,True,1.326189969265158e-11,-19.426429988696366,-21.70391587853618,-24.503112138716936,-29.525221355985188,-32.36294058502735,-32.97962278441033,-32.996039398363365
2000,-3.0,-1.0,2,True,2.4260684032580295e-11,-19.46422000551976,-21.46789774762036,-24.42322671725885,-29.747247489343973,-32.470432614051205,-32.98131336958832,-32.895161783367335
2000,-2.5,-1.0,2,True,4.6173772584820816e-11,-19.461889980323352,-21.26570240670228,-24.322162536381548,-29.9447652457333,-32.5414463146912,-32.94443667760193,-32.792709837295796
2000,-2.0,-1.0,2,True,9.976948521389607e-11,-19.46076512229573,-21.11574690801036,-24.223099271230097,-30.12167536439136,-32.585930446931556,-32.88684469674058,-32.705722473427585
2000,-1.5,-1.0,2,True,2.790549484509577e-10,-19.467708678538763,-21.017289419771316,-24.13289096517653,-30.267708102528147,-32.61246627600619,-32.83062476170072,-32.64439013153622
2000,-1.0,-1.0,2,True,9.250849681937796e-10,-19.493612019991147,-20.95928193861396,-24.05375390113909,-30.383125937981976,-32.626204961041594,-32.772076213210624,-32.59775432957416
2000,-0.5,-1.0,2,True,3.152823659604687e-09,-19.54185533115497,-20.937466352028583,-23.987582831697537,-30.4643043341937,-32.63073673518519,-32.726099133763306,-32.56846578858687
2000,0.0,-1.0,2,True,1.0129696584178787e-08,-19.72149058930861,-21.03108341404168,-24.00490119607753,-30.52132790014764,-32.61694120593977,-32.702259197058524,-32.57127728604962
2000,0.5,-1.0,2,True,3.0452359957617564e-08,-20.0391344661383,-21.25634994840778,-24.122835634724726,-30.54826701963258,-32.56513996736215,-32.68222675593425,-32.59294297503972
2000,1.0,-1.0,2,True,9.217250395855165e-08,-20.247884995113345,-21.44535536700438,-24.187191755356892,-30.54141915286052,-32.52824624407982,-32.69357729882881,-32.60951675893277
2000,1.5,-1.0,2,True,2.7709269876210084e-07,-20.346490664029258,-21.60003019421048,-24.17101211747809,-30.527547197146458,-32.508197005210356,-32.69695458222004,-32.60271676611969
3000,-3.5,-1.0,2,True,5.7764572912280694e-11,-25.935480571897436,-28.688657620460894,-30.06817254832724,-32.46578858292133,-33.75146862675037,-34.33510545536506,-34.37975097641584
3000,-3.0,-1.0,2,True,1.4541442268694548e-10,-26.073592740365115,-28.607699625506655,-29.964874327505857,-32.43190299214093,-33.70492896411164,-34.41888037893981,-34.43354195285563
3000,-2.5,-1.0,2,True,3.3353271260651374e-10,-26.289383238343728,-28.63903248363993,-29.96673479056334,-32.45251718069556,-33.69028017945938,-34.477746593317235,-34.45020505433827
3000,-2.0,-1.0,2,True,7.091189087132589e-10,-26.567836388897295,-28.75564547705971,-30.04763265584765,-32.51130020862956,-33.69952092370953,-34.51694822801829,-34.44026063599447
3000,-1.5,-1.0,2,True,1.44362433226375e-09,-26.88566143135445,-28.909284561897476,-30.160998116846063,-32.58578249053067,-33.72131454676546,-34.5408305111055,-34.41048737719306
3000,-1.0,-1.0,2,True,2.8172878004161806e-09,-27.237761517072144,-29.080716350337266,-30.28986686966254,-32.667263034924886,-33.74869879323407,-34.551570273569034,-34.366236891927656
3000,-0.5,-1.0,2,True,5.3558396590508716e-09,-27.61843059245521,-29.262013169005463,-30.424410595683536,-32.75168726689997,-33.78113504975599,-34.55087121035399,-34.30974264005694
3000,0.0,-1.0,2,True,9.987456445527057e-09,-28.015811217819287,-29.45754660590261,-30.56540417099,-32.83798511815239,-33.81248726173819,-34.538168589890596,-34.243089439287004
3000,0.5,-1.0,2,True,1.8529096586501165e-08,-28.40901835471191,-29.66695774164495,-30.707819786542508,-32.92603708405094,-33.84601742039222,-34.51419564664887,-34.16874251936089
3000,1.0,-1.0,2,True,3.509870956132672e-08,-28.76283744861409,-29.88087930884831,-30.835029778817713,-33.00809197906745,-33.87370343133642,-34.478509704117556,-34.092080606355715
3000,1.5,-1.0,2,True,6.944527290483489e-08,-29.07689660069124,-30.114040822955936,-30.950285396431592,-33.089613229053825,-33.89741476785085,-34.41444980630847,-34.01613469797837
4000,-3.15,-1.0,2,True,2.8173513484358144e-11,-31.200690267241995,-33.36784561032126,-33.9753892863077,-34.731972354369304,-35.061616343270195,-34.974936833008144,-34.70195098974398
4000,-3.0,-1.0,2,True,4.0700545100991085e-11,-31.122253924321683,-33.320157285838384,-33.938349584309364,-34.708089030316025,-35.06133299768686,-35.02897937121013,-34.753517533815895
4000,-2.5,-1.0,2,True,1.1516622431713803e-10,-31.079464150217618,-33.291166994046534,-33.9041062773643,-34.655660763025885,-35.03423803624858,-35.143927004296685,-34.85743474133348
4000,-2.0,-1.0,2,True,2.7517434533124676e-10,-31.225450096091624,-33.365445430829425,-33.935992597837505,-34.62393825904591,-34.99317668370161,-35.19982491805014,-34.90137676561209
4000,-1.5,-1.0,2,True,5.982811168148843e-10,-31.46288687200261,-33.468079404221925,-33.97915314506653,-34.594876173913306,-34.950558479233095,-35.22787106659657,-34.917725621988644
4000,-1.0,-1.0,2,True,1.2266589870188647e-09,-31.73611424696903,-33.5578771870162,-34.010787836644866,-34.56507183143752,-34.911368109545904,-35.24494823029698,-34.92142852302424
4000,-0.5,-1.0,2,True,2.4446710395090134e-09,-31.995068791353916,-33.620757263288056,-34.025453164231195,-34.535790704213326,-34.877777160143665,-35.25173203358354,-34.91789797011051
4000,0.0,-1.0,2,True,4.781227950145851e-09,-32.20628953768212,-33.658237930678254,-34.02784894615352,-34.509152049276615,-34.85075752084264,-35.256778014881306,-34.91486618791046
4000,0.5,-1.0,2,True,9.317384795357992e-09,-32.36385941926387,-33.675928050749924,-34.021834990544974,-34.48542914045703,-34.82834601647751,-35.256400244936486,-34.90845763543192
4000,1.0,-1.0,2,True,1.8165933005195515e-08,-32.47840000989691,-33.68414971017769,-34.014444735543016,-34.467510735886265,-34.81167181105512,-35.25669859211839,-34.904172147684854
4000,1.5,-1.0,2,True,3.573771728243815e-08,-32.55734804550822,-33.68516736270529,-34.005335684168884,-34.45321474702037,-34.79842230367407,-35.25405416196368,-34.89824297993743
4500,-4.0,-1.0,2,False,3.9493050563453733e-16,-34.36505001282964,-34.48549655340923,-34.510895333364374,-34.2401143818013,-34.091604329428826,-33.764796998274996,-33.50081919533316
4500,-3.75,-1.0,2,False,6.5465668461583e-14,-34.44165547161711,-34.79358432691023,-34.88555892609049,-34.78135370718639,-34.69521851678232,-34.39105984029149,-34.118966362171584
4500,-3.6,-1.0,2,False,3.27480551142006e-13,-34.35179851634067,-34.84045483651344,-34.9514856389512,-34.968008261633045,-34.85606021052671,-34.546007536298916,-34.25104708329293
